"⚾  MLB HOME RUN MODEL  —  Thursday, September 17, 2026",,,,,,,,,,,,,,,,,,,,,,,
"Top 83 HR Picks  |  10,000 Monte Carlo Sims  |  Power + Matchup + Bullpen + Vegas + PropLine Odds",,,,,,,,,,,,,,,,,,,,,,,
Rank,Batter,Status,Game Time,Team,Opp,Pitcher,HR Odds,HR Prob,"Score
/100",Power,Vuln,"Pitch
Match",Park,Env,Est PA,"Edge
vs Mkt","Hit
Score","Sig
Score","NearHR
Count","NearHR
PA","NearHR
Rate","NewConv
CONV100","DFF
Cross-Check"
66,Cam Smith,📋 Proj,7:15 PM ET,HOU,KC,Seth Lugo,+490,0.1403,53.8,85.0,50.3,0.927,0.97,0.971,4.0,+11.0%,21.7,7,0,10,0.0,41,– (8.1fp)
67,C. Walker,📋 Proj,7:15 PM ET,HOU,KC,Seth Lugo,+410,0.1481,48.1,82.4,50.3,1.018,0.97,0.971,4.1,+12.9%,13.9,1,0,10,0.0,62,– (9.2fp)
68,Alex Freeland,✅ Conf,12:40 PM ET,LAD,CIN,Brady Singer,+600,0.2012,21.8,76.5,67.2,0.994,1.16,1.309,4.0,+5.8%,26.1,0,0,10,0.0,45,– (8.8fp)
69,Joc Pederson,📋 Proj,8:05 PM ET,TEX,BOS,Sonny Gray,+370,0.1408,51.0,83.2,44.6,1.032,1.12,1.142,4.6,-7.2%,23.6,7,1,10,0.1,68,– (8.5fp)
70,M. Massey,📋 Proj,7:15 PM ET,KC,HOU,M Ullola,+590,0.1528,41.5,78.6,48.0,0.984,1.01,1.012,4.0,-2.7%,53.7,0,0,10,0.0,41,– (8.8fp)
71,Jared Young,📋 Proj,7:15 PM ET,NYM,PHI,Aaron Nola,+520,0.1481,42.8,81.6,43.3,1.007,0.98,1.039,4.3,-1.3%,37.4★,3,0,10,0.0,51,– (9.4fp)
72,Luis Lara,✅ Conf,12:35 PM ET,MIL,PIT,Wilber Dotel,+800,0.1585,37.4,78.2,42.0,1.006,0.92,0.901,4.5,+4.7%,1.4,0,0,0,0.0,41,– (9.9fp)
73,Josh Jung,📋 Proj,8:05 PM ET,TEX,BOS,Sonny Gray,+800,0.1403,46.1,77.5,44.6,0.995,1.08,1.101,4.5,-4.2%,66.0,0,2,10,0.2,38,– (9.2fp)
74,F. Lindor,📋 Proj,7:15 PM ET,NYM,PHI,Aaron Nola,+390,0.141,45.0,80.8,43.3,1.004,0.94,0.996,4.7,+1.5%,46.9~,0,2,10,0.2,68,🥈 T2 (11.8fp)
75,Kyle Tucker,✅ Conf,12:40 PM ET,LAD,CIN,Brady Singer,+340,0.1891,21.3,76.4,67.2,0.978,1.2,1.354,4.5,-1.8%,28.5,0,0,10,0.0,100,🥇 T1 (13.7fp)
76,Andrew Vaughn,✅ Conf,12:35 PM ET,MIL,PIT,Wilber Dotel,+600,0.152,38.2,76.9,42.0,1.016,0.92,0.901,4.4,+21.5%,66.9,0,0,10,0.0,41,– (10.5fp)
77,Lawrence Butler,✅ Conf,1:10 PM ET,ATH,TB,Drew Rasmussen,+630,0.1129,56.7,77.4,35.9,0.975,0.95,0.95,4.3,-3.1%,38.8★,0,1,10,0.1,38,🥈 T2 (8.8fp)
78,Carson Benge,📋 Proj,7:15 PM ET,NYM,PHI,Aaron Nola,+680,0.1406,42.9,76.5,43.3,1.002,0.98,1.039,4.4,-0.8%,37.8★,0,2,10,0.2,55,– (10.3fp)
79,Miguel Rojas,✅ Conf,12:40 PM ET,LAD,CIN,Brady Singer,+900,0.2003,13.8,76.0,67.2,0.973,1.16,1.309,3.9,+10.0%,12.0,0,0,10,0.0,45,– (8.2fp)
80,Wade Meckler,📋 Proj,9:38 PM ET,LAA,MIN,Taj Bradley,+1200,0.1406,42.4,73.6,40.4,0.99,0.97,1.007,4.4,+9.2%,40.9~,2,0,10,0.0,22,– (8.3fp)
81,S. Perez,📋 Proj,7:15 PM ET,KC,HOU,M Ullola,+440,0.1527,36.4,79.5,48.0,0.998,0.97,0.971,4.3,-2.0%,38.7★,0,0,10,0.0,42,– (9.2fp)
82,Matt McLain,✅ Conf,12:40 PM ET,CIN,LAD,Justin Wrobleski,+430,0.1588,33.2,78.8,44.9,0.986,1.16,1.309,4.1,+2.0%,2.8,0,0,10,0.0,41,– (9.3fp)
83,K. McGonigle,📋 Proj,7:40 PM ET,DET,CWS,Erick Fedde,+560,0.1487,37.9,78.4,52.1,1.023,0.97,0.919,4.6,+4.8%,53.6,0,0,10,0.0,60,🥈 T2 (11.7fp)
,,,,,,,,,,,,,,,,,,,,,,,
COLOUR SCALE:  HR NAME CELL (6-signal): Sharp(all5)+BothElite+SharpLineMvt+PM1.04+Pwr63+PM1.04+Vuln47-52+HotTemp  |  HIT SCORE: Cold+PM≥1.03=66.2%(🔥 57-sl) · HS35-40+Sig1-5=82.3%(🔥 57-sl) · HS40-47+Sig1-5=69.5%(57-sl) · SWEET★(35-39)=64% · HS47+=below base  |  SIG SCORE(0-20): ≥12=🟩Elite · ≥8=🟢Strong · ≥5=🟡Amber · ≥1=pale · 0=grey · Vuln48-52=sweet · Vuln42-44=always↓grade · Vuln45-48=↓grade(Sc60+only) · Vuln44-45=positive · EliteArm=no edge  |  🎯DP SHARP=PM≥1.04+DPedge+V48-52+Pwr78+Sc40+Park≥0.93(May21:1/1 100%) · 🎯HR=5-signal(Mkt+PM+V48-52+Pwr78+vsOpp55%+Sc≥40) | 🎯HIT=WHR≥70%+Cons≥60% | SigScore=HR-only (Sig=0 can still be top hit pick — check Hit Props tab)  ||  ❄️ drops hit tier -2  · ~NN = stats-based HS (no market data)  · [FD/Con] = odds source tag,,,,,,,,,,,,,,,,,,,,,,,
