Player,Player,Salary,DFF Proj,FPros Proj,NF Proj,SportsLine,DraftEdge Proj,RotoWire Proj,FantasyLabs Proj,FBGuys Proj,B5 Proj,Avg Proj,Weighted,Roster %,Position,Exclude?,,,,,,Weights,
Josh Downs,Josh Downs,5600,8.5,8.98,10.2,7.77,10.6,9.66,8.55,8.280000000000001,8.746,9.031777777777778,8.932446666666667,7.41,WR,,,,,,,,
Aaron Jones Sr.,Aaron Jones,5900,8.4,8.280000000000001,10.4,7.63,9.6,7.83,8.71,9.065000000000001,8.755,8.741111111111111,8.721966666666667,7.74,RB,,,,,,,,
Stefon Diggs,Stefon Diggs,6000,8.3,7.55,8.2,6.71,9.3,7.99,7.91,7.471,7.6462,7.897466666666667,7.850156,0,WR,,,,,,,,
Michael Mayer,Michael Mayer,4600,8.3,7.1000000000000005,7.5,7.61,10.9,6.65,8.27,8.191,7.7402,8.029022222222222,7.956809333333332,0.81,TE,,,,,,,,
Jalen Coker,Jalen Coker,5400,8.3,8.25,5.8,8.97,10.1,9.82,8.22,8.187000000000001,7.901400000000001,8.394266666666667,8.313532,0,WR,,,,,,,,
Jakobi Meyers,Jakobi Meyers,5800,8.2,8.120000000000001,7.8,8.01,9.3,8.48,7.71,6.821000000000001,7.7902000000000005,8.02568888888889,7.933009333333333,0,WR,,,,,,,,
Michael Wilson,Michael Wilson,6300,8.2,8.46,7.4,8.91,10.7,8.49,8.31,9.686,8.5312,8.743022222222223,8.718289333333333,1.13,WR,,,,,,,,
Brian Thomas Jr.,Brian Thomas,6100,8.1,8.17,7.1,8.1,10.5,8.78,7.95,8.1,7.914,8.301555555555556,8.223253333333334,22.7,WR,,,,,,,,
Jaguars,Jaguars,5000,8,8,8,9.23,7,8.24,8.3,9.08,8.462,8.25688888888889,8.296593333333334,0,DST,,,,,,,,
Alec Pierce,Alec Pierce,6000,8,9.32,11,10.26,9.9,7.9,7.92,7.533,9.2226,9.006177777777777,8.866154666666667,1.7,WR,,,,,,,,
Khalil Shakir,Khalil Shakir,5900,7.9,7.22,7,6.48,10.2,8.14,7.72,4.783,6.6766000000000005,7.346622222222221,7.154741333333334,5.75,WR,,,,,,,,
Harold Fannin Jr.,Harold Fannin,5700,7.9,8.8,7.7,7.9,9.7,8.39,8.12,7.9,8.040000000000001,8.272222222222222,8.239133333333335,2.65,TE,,,,,,,,
Chargers,Chargers,4600,7.8,7.8,7.8,9.86,7.8,8.05,7.54,8.69,8.389999999999999,8.192222222222222,8.168933333333335,0,DST,,,,,,,,
Mark Andrews,Mark Andrews,5200,7.8,8.07,7.6,9.17,11.6,8.35,8.18,7.927,8.1134,8.53448888888889,8.371425333333335,10.22,TE,,,,,,,,
Dallas Goedert,Dallas Goedert,5300,7.8,9.57,9.9,12,9.3,8.14,7.65,7.6850000000000005,9.391000000000002,9.048444444444447,8.908546666666668,0,TE,,,,,,,,
Kyle Pitts Sr.,Kyle Pitts,5500,7.8,7.86,6.7,9.76,9.2,7.72,7.75,8.328,8.089599999999999,8.134177777777778,8.078714666666666,5.04,TE,,,,,,,,
Rachaad White,Rachaad White,5600,7.8,7.74,8.6,7.01,7.3,7.68,6.8,7.298000000000001,7.6896,7.546399999999999,7.554748000000001,0,RB,,,,,,,,
Titans,Titans,3200,7.7,7.7,7.7,8.67,6.3,7.18,7.72,8.3,8.014000000000001,7.698222222222221,7.758153333333334,0,DST,,,,,,,,
Steelers,Steelers,4900,7.6,7.6,7.6,8.68,6.6,8.33,6.64,8.24,7.944,7.692666666666666,7.71132,0,DST,,,,,,,,
Brenton Strange,Brenton Strange,5100,7.4,7.1899999999999995,7.4,8.01,10,6.53,7.44,7.079000000000001,7.4158,7.6072,7.499404,3.79,TE,,,,,,,,
Matthew Golden,Matthew Golden,5600,7.4,7.300000000000001,5.9,7.47,9.1,7.46,7.66,8.253,7.2646,7.534177777777779,7.529214666666667,6.27,WR,,,,,,,,
Tyjae Spears,Tyjae Spears,5000,7.2,7.700000000000001,8.5,7.49,9.2,8.22,7.21,7.599,7.697800000000001,7.868533333333334,7.782564000000001,0,RB,,,,,,,,
Jonathon Brooks,Jonathon Brooks,5700,7.2,8.809999999999999,5.1,10.64,7.2,8.85,7.56,8.552999999999999,8.060599999999999,7.997066666666667,8.023928000000002,0,RB,,,,,,,,
Jalen Nailor,Jalen Nailor,5200,7.1,7.37,4.1,8.75,9.8,8.09,7.08,7.4,6.944,7.403777777777778,7.317886666666666,0,WR,,,,,,,,
