Player,POS,Team,Opp,Proj,Prop,Metric,Proj Diff,L5 Avg,L5 Diff,L10 Avg,L10 Diff,Odds,Streak,Matchup,2025,2026,H2H,L5,L10,L20,Probability,Weighted Score,Total Odds,$10 Bet Payout,Parlay Probability,Avg Rating,Custom Sheet
Carson Wentz,QB,MIN,CHI,233.53,227.5,Passing + Rushing Yards,6.030000000000001,235.2,7.7,224.833,-2.667,-112,0,31,0.6,0,0,0.6,0.5,0.5,0.5283018867924528,6.774961886792453,,,,,
Brian Thomas Jr,WR,,DEN,49.35,34.5,Receiving Yards,14.850000000000001,,,,,-114,,3,,,,,,,0.5327102803738317,6.772710280373833,,,,,
D'Andre Swift,RB,CHI,MIN,69.33,60.83,Rushing Yards,8.5,69.6,8.77,70.7,9.87,-114,2,1,0.5,1,1,0.4,0.5,0.5263157894736842,0.5327102803738317,6.769110280373832,,,,,
Michael Wilson,WR,ARI,SEA,4.64,3.5,Receptions,1.1399999999999997,4.4,0.9,6.5,3,-128,3,6,0.47058823529411764,1,1,0.8,0.8,0.5,0.5614035087719298,6.7414035087719295,,,,,
Tyler Warren,TE,IND,KC,0.36,1,Anytime Touchdown,-0.64,0.2,-0.8,0.2,-0.8,243,1,24,0.29411764705882354,1,1,0.2,0.2,0.3333333333333333,0.2915451895043732,6.695545189504373,,,,,
Emeka Egbuka,WR,TB,CLE,62.64,52,Receiving Yards,10.64,39,-13,43.9,-8.1,-113,1,30,0.4117647058823529,1,1,0.4,0.3,0.4444444444444444,0.5305164319248826,6.6865164319248835,,,,,
Romeo Doubs,WR,NE,PIT,46.99,39.83,Receiving Yards,7.160000000000004,61.2,21.37,40.7,0.87,-113,0,1,0.5882352941176471,0,0,0.6,0.4,0.5555555555555556,0.5305164319248826,6.666916431924885,,,,,
Bhayshul Tuten,RB,JAX,DEN,61.17,49.5,Rushing Yards,11.670000000000002,30.4,-19.1,29.4,-20.1,-114,2,31,0.125,1,1,0.4,0.3,0.17647058823529413,0.5327102803738317,6.650710280373833,,,,,
Jauan Jennings,WR,MIN,CHI,20.09,18,Receiving Yards,2.09,29,11,38.7,20.7,-113,0,27,0.8823529411764706,0,0,0.8,0.9,0.8333333333333334,0.5305164319248826,6.604516431924883,,,,,
Mike Evans,WR,SF,MIA,59.53,49,Receiving Yards,10.530000000000001,55.4,6.4,46.333,-2.667,-112,1,9,0.375,1,1,0.4,0.4444444444444444,0.4444444444444444,0.5283018867924528,6.588961886792453,,,,,
Josh Oliver,TE,MIN,CHI,16.36,11.5,Receiving Yards,4.859999999999999,19.2,7.7,16.5,5,-111,2,14,0.5,1,0.6666666666666666,0.8,0.6,0.5384615384615384,0.5260663507109005,6.397399684044234,,,,,
Ashton Jeanty,RB,LV,LAC,0.76,1,Anytime Touchdown,-0.24,0.8,-0.2,0.6,-0.4,-118,1,16,0.4117647058823529,1,1,0.4,0.4,0.4444444444444444,0.5412844036697247,6.379284403669725,,,,,
Trey McBride,TE,ARI,SEA,0.4,1,Anytime Touchdown,-0.6,0.8,-0.2,0.7,-0.3,186,1,19,0.5294117647058824,1,1,0.6,0.6,0.5555555555555556,0.34965034965034963,6.35165034965035,,,,,
Patrick Mahomes,QB,KC,IND,0.21,1,Anytime Touchdown,-0.79,0.4,-0.6,0.3,-0.7,311,2,28,0.35714285714285715,1,0.5,0.4,0.3,0.4,0.24330900243309003,6.290309002433091,,,,,
Breece Hall,RB,NYJ,GB,75.86,67.83,Rushing Yards,8.030000000000001,66.6,-1.23,71.9,4.07,-114,2,19,0.4375,1,1,0.4,0.5,0.47058823529411764,0.5327102803738317,6.2651102803738326,,,,,
Jaxon Smith-Njigba,WR,SEA,ARI,0.59,1,Anytime Touchdown,-0.41000000000000003,0.6,-0.4,0.6,-0.4,130,1,16,0.5,1,0.5,0.6,0.5,0.55,0.43478260869565216,6.165782608695652,,,,,
Jordan Love,QB,GB,NYJ,1.84,1.5,Passing Touchdowns,0.3400000000000001,2,0.5,1.6,0.1,-129,2,7,0.5,1,0.5,0.6,0.5,0.5294117647058824,0.5633187772925764,6.094318777292576,,,,,
Tetairoa McMillan,WR,CAR,ATL,63.99,58.5,Receiving Yards,5.490000000000002,63.8,5.3,61.2,2.7,-112,3,8,0.5555555555555556,1,1,0.8,0.6,0.5789473684210527,0.5283018867924528,6.082301886792455,,,,,
Ryan Flournoy,WR,DAL,WAS,32.65,30.5,Receiving Yards,2.1499999999999986,52.6,22.1,31.8,1.3,-114,0,14,0.3333333333333333,0,0.3333333333333333,0.6,0.4,0.3125,0.5327102803738317,6.0633769470404975,,,,,
Kyle Monangai,RB,CHI,MIN,45.08,37.17,Rushing Yards,7.909999999999997,43,5.83,53.3,16.13,-113,1,1,0.3684210526315789,1,1,0.4,0.6,0.4,0.5305164319248826,6.062116431924882,,,,,
Josh Allen,QB,BUF,DET,253.62,251.17,Passing Yards,2.450000000000017,256.4,5.23,241.9,-9.27,-117,4,29,0.5,1,1,0.8,0.6,0.5263157894736842,0.5391705069124424,6.03077050691245,,,,,
Javonte Williams,RB,DAL,WAS,0.78,1,Anytime Touchdown,-0.21999999999999997,1,0,0.8,-0.2,-184,2,8,0.625,1,1,0.8,0.6,0.6470588235294118,0.647887323943662,6.029887323943662,,,,,
Alec Pierce,WR,IND,KC,3.76,2.5,Receptions,1.2599999999999998,2.6,0.1,3.3,0.8,-169,2,2,0.6,1,1,0.6,0.7,0.625,0.6282527881040892,6.02625278810409,,,,,
